l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l31;"SRID=4326;LINESTRING(8.08565059715704 53.605834192587,8.06005695814032 53.6202025750861)";0.052716607;25.83113733;104.7768008;488.3358491;0.996603774;490;;l31;"SRID=4326;LINESTRING(8.08565059715704 53.605834192587,8.06005695814032 53.6202025750861)";;;;;;;;;;l31;104.7768008;488.3358491
l32;"SRID=4326;LINESTRING(9.11321007472722 52.5438533223737,9.91814864613865 52.3799963125719)";0.026074503;12.77650628;17.13518403;61.70817428;0.12593505;490;;l32;"SRID=4326;LINESTRING(9.11321007472722 52.5438533223737,9.91814864613865 52.3799963125719)";;;;;;;;;;l32;17.13518403;61.70817428
l33;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,12.9416466019288 52.5621144045848)";0.07921379;134.6634433;64.33949464;186.9305211;0.10995913;1700;;l33;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,12.9416466019288 52.5621144045848)";;;;;;;;;;l33;64.33949464;186.9305211
l34;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2115276454389 52.5806278102291)";0.126539266;215.1167525;109.7685157;332.772199;0.195748352;1700;;l34;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2115276454389 52.5806278102291)";;;;;;;;;;l34;109.7685157;332.772199
l35;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,13.2115276454389 52.5806278102291)";0.145464797;247.2901547;110.9915977;308.2286283;0.181310958;1700;;l35;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,13.2115276454389 52.5806278102291)";;;;;;;;;;l35;110.9915977;308.2286283
l36;"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,13.1433929102518 53.9081469774219)";0.041759683;70.99146126;166.6584359;399.131968;0.234783511;1700;;l36;"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,13.1433929102518 53.9081469774219)";;;;;;;;;;l36;166.6584359;399.131968
l37;"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,11.8531057080136 53.0865444750041)";0.042547515;72.33077473;75.2099996;766.0956689;0.450644511;1700;;l37;"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,11.8531057080136 53.0865444750041)";;;;;;;;;;l37;75.2099996;766.0956689
l38;"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,11.8531057080136 53.0865444750041)";0.027654525;47.01269169;152.7113715;300.3765966;0.176692116;1700;;l38;"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,11.8531057080136 53.0865444750041)";;;;;;;;;;l38;152.7113715;300.3765966
l39;"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,12.1869848227216 53.8157751724384)";0.054978361;93.46321303;166.2108269;349.7852042;0.205756002;1700;;l39;"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,12.1869848227216 53.8157751724384)";;;;;;;;;;l39;166.2108269;349.7852042
l40;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)";0.152573442;74.76098668;42.77902881;103.7717103;0.211779001;490;;l40;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)";;;;;;;;;;l40;42.77902881;103.7717103
