l_id;wkt_srid_4326;;;;;;;
l81;"SRID=4326;LINESTRING(8.122642304058 53.5605160665145,8.14191383627294 53.5640011817982)";0.035928887;17.60515486;490;1;;17.60515486;17.60515486
l82;"SRID=4326;LINESTRING(10.1562825155965 54.2755482828972,10.1773541417844 54.3395212774033)";0.101145838;49.56146057;490;1;;49.56146057;49.56146057
l83;"SRID=4326;LINESTRING(10.1562825155965 54.2755482828972,9.72699275106814 54.2914209859116)";0.1589379;77.87957102;490;1;;-77.87957102;77.87957102
l84;"SRID=4326;LINESTRING(7.03496796550368 52.2028607768236,7.30824781629083 52.4767901583642)";0.018549992;31.53498593;1700;1;;31.53498593;31.53498593
l85;"SRID=4326;LINESTRING(7.06034476225792 51.6964980793073,7.30824781629083 52.4767901583642)";0.256096195;435.3635319;1700;1;;435.3635319;435.3635319
l86;"SRID=4326;LINESTRING(7.54571775348996 51.9703244532995,7.30824781629083 52.4767901583642)";0.174620886;296.8555068;1700;1;;296.8555068;296.8555068
l87;"SRID=4326;LINESTRING(7.30460120682915 52.4817909166958,7.30824781629083 52.4767901583642)";0.004997978;8.496562557;1700;1;;-8.496562557;8.496562557
l88;"SRID=4326;LINESTRING(7.30824781629083 52.4767901583642,7.30433880131157 52.4824259961208)";0.022540047;38.31807932;1700;1;;-38.31807932;38.31807932
l89;"SRID=4326;LINESTRING(7.30460120682915 52.4817909166958,7.30824781629083 52.4767901583642)";0.004997978;8.496562557;1700;1;;-8.496562557;8.496562557
l90;"SRID=4326;LINESTRING(7.30824781629083 52.4767901583642,7.27715397426964 52.7532426203196)";0.079749888;135.574809;1700;1;;-135.574809;135.574809
l91;"SRID=4326;LINESTRING(8.30775696202904 52.3456357754793,7.30824781629083 52.4767901583642)";0.154508572;262.6645727;1700;1;;-262.6645727;262.6645727
l92;"SRID=4326;LINESTRING(7.30824781629083 52.4767901583642,7.88957673752775 52.2773967844269)";0.134603892;228.8266169;1700;1;;228.8266169;228.8266169
l93;"SRID=4326;LINESTRING(7.30824781629083 52.4767901583642,7.31784997667688 52.4691115144199)";0.096243252;47.15919359;490;1;;47.15919359;47.15919359
l94;"SRID=4326;LINESTRING(13.3352804208787 49.5896898733245,12.1147699347953 49.6311522364994)";0.155293651;263.9992063;1700;1;;-263.9992063;263.9992063
l95;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,12.2147735094259 54.1003234808405)";0.227728766;387.138903;1700;1;;387.138903;387.138903
l96;"SRID=4326;LINESTRING(6.99647662277982 49.3754093214106,6.4747398132316 49.9224693104147)";0.651178629;1,107;1700;1;;-1107.00367;1107.00367
l97;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,12.2147735094259 54.1003234808405)";0.227824421;387.3015163;1700;1;;387.3015163;387.3015163
l98;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,14.0336963902155 53.507868594058)";0.083426823;40.87914326;490;1;;-40.87914326;40.87914326
l99;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,11.6993927384808 53.5722744896829)";0.028841924;49.03127147;1700;1;;49.03127147;49.03127147
l100;"SRID=4326;LINESTRING(11.3706374165175 53.6009910913085,12.1869848529515 53.8157751978716)";0.067733806;115.1474699;1700;1;;-115.1474699;115.1474699
l101;"SRID=4326;LINESTRING(6.94821096676896 51.4445758936096,7.06034476225792 51.6964980793073)";0.16802136;285.6363123;1700;1;;-285.6363123;285.6363123
