v_id;wkt_srid_4326;Curtailment;;;;;;
n313;"SRID=4326;POINT(12.3374229103144 51.1969683571228)";20.53366478;;;;;;
n314;"SRID=4326;POINT(10.8675658805484 48.5394690937344)";0;;;;;;
n315;"SRID=4326;POINT(10.8408695619217 48.2380310092335)";0;;;;;;
n316;"SRID=4326;POINT(10.9367289314287 48.4013064414835)";0;;;;;;
n318;"SRID=4326;POINT(10.8637616199498 48.5468231051405)";0;;;;;;
n319;"SRID=4326;POINT(9.70423149899321 48.465063732143)";0;;;;;;
n320;"SRID=4326;POINT(9.40063139462492 48.6669424396984)";0;;;;;;
n322;"SRID=4326;POINT(7.75186249820802 48.0964057188536)";0.10395;;;;;;
n323;"SRID=4326;POINT(12.4772465232803 50.7531200813148)";0;;;;;;
n324;"SRID=4326;POINT(14.9464972856333 51.0625862159619)";0;;;;;;
n326;"SRID=4326;POINT(13.8412680841242 50.9901759359427)";0;;;;;;
n327;"SRID=4326;POINT(13.255555023675 50.9301782416399)";0;;;;;;
