l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
259;147;205;"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.45034204531003 51.413608212821)";;220000;3;1;50;Koepchenwerk Maschine 5;Amprion;;4507;0.16;0.64;5.75;0.65;1606843
260;123;206;"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)";;380000;3;4;50;Neurath 4d;Amprion;;6700;0.025;0.25;13.7;2.6;1610217
261;123;206;"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)";;380000;3;4;50;Neurath 5e;Amprion;;6646;0.025;0.25;13.7;2.6;1610218
262;165;207;"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.60711612154456 51.8986046029193)";;220000;3;2;50;Werse West;Amprion;;27915;0.08;0.32;11.5;1.3;1610616
263;165;208;"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.4035444340631 51.644449487967)";;380000;3;4;50;Waltrop Süd;Amprion;;23948;0.025;0.25;13.7;2.6;1610620
264;4;94;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,8.30775689679575 52.3456356447783)";;380000;3;4;50;Dümmersee Süd 1;Amprion;;79060;0.025;0.25;13.7;2.6;1630765
265;4;2;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)";;380000;6;4;50;Robert Frank - Landesbergen;transpower;;1268;0.0125;0.125;27.4;5.2;1630850
266;4;2;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)";;380000;3;4;50;Leitung 3004;transpower;3004;1105;0.025;0.25;13.7;2.6;1630851
267;4;2;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)";;380000;3;4;50;Leitung 3005;transpower;3005;902;0.025;0.25;13.7;2.6;1630852
268;209;4;"SRID=4326;LINESTRING(8.93969252741257 52.4030332405173,9.12526570294975 52.5382640870749)";;380000;6;4;50;Leitung 3017;TenneT;3017;25841;0.0125;0.125;27.4;5.2;1630911
269;119;163;"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.59601979462215 50.9525274624278)";;380000;3;4;50;Oberzier Süd;Amprion;;20419;0.025;0.25;13.7;2.6;1632259
270;210;3;"SRID=4326;LINESTRING(9.40952032742215 52.034316665873,9.38974509624863 52.0263130660355)";;380000;3;4;50;Leitung 3013;TenneT;3013;1820;0.025;0.25;13.7;2.6;1633120
271;99;211;"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,7.23579344536789 49.3693923629482)";;380000;3;4;;Bliestal Süd;Amprion;;20242;0.025;0.25;13.7;2.6;1636702
272;99;69;"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,8.41937105938048 49.6337356823792)";;380000;3;4;50;Bürstadt Ltg;Amprion;;125443;0.025;0.25;13.7;2.6;1636703
273;212;99;"SRID=4326;LINESTRING(6.81368431456473 49.7248340737293,6.99647659179489 49.3754093063084)";;380000;3;4;;Uchtelfangen Ost;Amprion;;48829;0.025;0.25;13.7;2.6;1636708
274;213;214;"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)";;220000;3;1;50;Rheinau Ost;Amprion;;45076;0.16;0.64;5.75;0.65;1636720
275;69;215;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)";;220000;3;2;50;Anilin 1A;Amprion;;13606;0.08;0.32;11.5;1.3;1636721
276;128;69;"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)";;380000;3;4;50;Soonwald West;Amprion;;123721;0.025;0.25;13.7;2.6;1636722
277;128;69;"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)";;380000;3;4;50;Soonwald Ost;Amprion;;123741;0.025;0.25;13.7;2.6;1636723
278;69;215;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)";;220000;3;2;50;Anilin 2B;Amprion;;13604;0.08;0.32;11.5;1.3;1636726
279;216;69;"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)";;380000;3;4;50;Kugelberg West;Amprion;;111236;0.025;0.25;13.7;2.6;1636729
280;216;69;"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)";;380000;3;4;50;Kugelberg Ost;Amprion;;111228;0.025;0.25;13.7;2.6;1636730
281;213;214;"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)";;220000;3;2;50;Rheinau West;Amprion;;45076;0.08;0.32;11.5;1.3;1636737
282;217;98;"SRID=4326;LINESTRING(12.1320699705054 54.14245987564,12.2147735096776 54.1003234403618)";;380000;3;4;50;546;50Hertz;546;7386;0.025;0.25;13.7;2.6;1636750
283;42;218;"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.2135605440795 54.1119998545154)";;220000;3;2;50;275;50Hertz Transmission;275;41565;0.08;0.32;11.5;1.3;1636782
284;177;42;"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,12.1869848227216 53.8157751724384)";;220000;3;2;50;276/317;50Hertz Transmission;"276;317";106704;0.08;0.32;11.5;1.3;1636783
285;219;209;"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)";;380000;3;4;50;;TenneT;3018;45492;0.025;0.25;13.7;2.6;1636863
286;219;220;"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)";;380000;3;4;50;Eickum - Bechterdissen;TenneT;;15054;0.025;0.25;13.7;2.6;1636864
287;219;220;"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)";;380000;3;4;50;Eickum - Bechterdissen;TenneT;;15048;0.025;0.25;13.7;2.6;1636865
288;219;209;"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)";;380000;3;4;50;Overstädt - Eickum;TenneT;3018;45501;0.025;0.25;13.7;2.6;1636866
289;94;95;"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,7.88957671235007 52.2773967624078)";;380000;3;4;50;Niedersachsen Nord;Amprion;;61846;0.025;0.25;13.7;2.6;1636917
