v_id;wkt_srid_4326;Average price 24;Average price 100;;;;;
n225;"SRID=4326;POINT(7.72920197913641 49.4826474297682)";50.45989897;3569.161307;;;;;
n226;"SRID=4326;POINT(9.79733602695253 52.0008392513306)";18.40694428;773.5123131;;;;;
n227;"SRID=4326;POINT(10.0821573264928 48.2660901578788)";18.38090909;285.9543665;;;;;
n228;"SRID=4326;POINT(8.62716125806072 49.5435952670263)";44.14976337;43.20993329;;;;;
n229;"SRID=4326;POINT(8.50180851652818 49.4449115114399)";44.14976337;43.20993329;;;;;
n230;"SRID=4326;POINT(10.391776056934 48.5184609117668)";18.38090909;285.9543665;;;;;
n231;"SRID=4326;POINT(7.95805402328778 47.5954722640613)";1.681479096;1588.010791;;;;;
n232;"SRID=4326;POINT(10.0837512706734 48.268867515302)";5.55035453;286.2948985;;;;;
n233;"SRID=4326;POINT(9.88551509756969 48.3040743584705)";-47.38813962;177.0161096;;;;;
n234;"SRID=4326;POINT(9.01340238045655 47.8453486310857)";2707.405446;3052.284765;;;;;
n235;"SRID=4326;POINT(8.25192548128222 47.6397698264894)";2707.405446;3052.284765;;;;;
n236;"SRID=4326;POINT(9.19675652645089 48.9129634380259)";81.77157501;1027.825032;;;;;
n238;"SRID=4326;POINT(6.62053556843084 49.7489386710632)";6.366561334;2884.296644;;;;;
n239;"SRID=4326;POINT(6.70228540768092 49.8289944201161)";4.350480629;2524.89063;;;;;
n240;"SRID=4326;POINT(8.53151493939883 50.047874332134)";219.1519001;1017.403802;;;;;
n241;"SRID=4326;POINT(8.4713716330449 50.0972077427754)";267.4379137;693.8014965;;;;;
n242;"SRID=4326;POINT(8.06573796639762 50.4060681118621)";267.4379137;693.8014965;;;;;
n243;"SRID=4326;POINT(8.5372190281928 50.078085046277)";55.31336882;2233.90976;;;;;
n244;"SRID=4326;POINT(8.54248113429862 50.0959883485051)";55.31336882;2233.90976;;;;;
n245;"SRID=4326;POINT(8.98953614977701 50.0602550608281)";137.2568537;833.951994;;;;;
n246;"SRID=4326;POINT(8.95870856177306 50.0826078105489)";127.8015193;840.1473156;;;;;
n247;"SRID=4326;POINT(10.363384232266 47.7383368092793)";82.97867505;394.2310782;;;;;
n248;"SRID=4326;POINT(7.46150025901999 51.6146143079042)";43.82404942;413.0141682;;;;;
